Elapsed_Time(s),Target_X,Target_Y,Error_X,Error_Y,PWM_X,PWM_Y
1.64601,324.941,204.977,4.94067,4.9774,1349.34,1449.96
1.66392,325.111,204.631,5.11111,4.63144,1349.34,1449.96
1.67937,325.492,202.931,5.49207,2.93121,1349.34,1449.96
1.69934,325.753,203.373,5.7533,3.3727,1343.4,1449.96
1.71279,325.979,203.757,5.97867,3.75734,1339.4,1449.96
1.73061,326.111,203.631,6.11111,3.63144,1335.4,1449.96
1.74603,325.644,203.629,5.6441,3.62907,1331.4,1449.96
1.76393,324.142,203.914,4.14249,3.91397,1335.5,1449.96
1.77932,322.351,204.044,2.35141,4.04393,1335.5,1449.96
1.79725,320.357,203.961,0.356964,3.96063,1335.5,1449.96
1.81275,320,203.785,0,3.78494,1335.5,1449.96
1.83053,319.516,203.312,-0.484375,3.3125,1335.5,1449.96
1.84605,319.247,202.627,-0.753296,2.6273,1335.5,1449.96
1.86385,318.741,202.168,-1.25894,2.16805,1335.5,1449.96
1.87934,318.316,201.552,-1.68448,1.55217,1335.5,1449.96
1.89727,317.562,200.895,-2.43848,0.894867,1335.5,1449.96
1.91273,317,200.5,-3,0.5,1335.5,1449.96
1.93066,316.122,199.531,-3.87759,-0.46875,1335.5,1449.96
1.94606,315.321,198.432,-4.67902,-1.5679,1335.5,1449.96
1.96399,314.36,197.158,-5.63989,-2.84184,1341.74,1449.96
1.9793,313.315,195.71,-6.6846,-4.28975,1345.74,1449.96
1.99723,312.067,194.492,-7.93332,-5.50769,1349.74,1456.05
2.01274,310.674,192.42,-9.32614,-7.58034,1354.46,1460.68
2.03061,310,190.5,-10,-9.5,1358.77,1465.7
2.04601,309.623,188.068,-10.3768,-11.9324,1363.04,1472.3
2.06392,309.844,186.405,-10.1561,-13.5952,1367.04,1478.68
2.07935,310.568,186.08,-9.4325,-13.9201,1371.04,1484.26
2.09719,310.573,186.898,-9.42743,-13.1022,1375.04,1488.66
2.11271,311.438,187.477,-8.56152,-12.5231,1379.04,1492.95
2.13062,311.476,184.929,-8.5238,-15.0714,1383.04,1500.55
2.14602,311.35,185.856,-8.64999,-14.1444,1387.04,1505.16
2.16393,311.916,186.084,-8.08405,-13.9159,1391.04,1510.3
2.17933,313.064,184.77,-6.93558,-15.2297,1395.04,1517.22
2.1973,314.052,186.179,-5.94775,-13.8209,1399.04,1521.47
2.21277,314.567,188.475,-5.43332,-11.525,1394.04,1524.27
2.23065,314.847,187.568,-5.15256,-12.4322,1394.04,1529.68
2.24604,314.117,188.579,-5.88266,-11.4213,1401.25,1533.18
2.26394,312.777,190.486,-7.22308,-9.51443,1405.25,1535.98
2.27935,311.458,191.271,-8.54236,-8.72882,1409.62,1538.78
2.29726,311.006,191.043,-8.9942,-8.95653,1413.62,1542.37
2.31277,311.451,191.161,-8.54919,-8.83879,1417.62,1545.65
2.33063,311.566,189.967,-8.43442,-10.0328,1421.62,1550.35
2.34612,311.543,189.154,-8.45657,-10.8459,1425.62,1555.18
2.36393,312.158,190.022,-7.84167,-9.97778,1429.62,1558.35
2.38113,313.19,190.462,-6.81024,-9.53847,1433.62,1561.67
2.39906,313.812,191.154,-6.18768,-8.84593,1437.62,1564.55
2.41532,313.774,193.025,-6.22589,-6.9752,1441.62,1567.35
2.43318,314.371,194,-5.62903,-6,1445.62,1570.15
2.44802,314.711,193.289,-5.2894,-6.7106,1440.69,1573.34
2.46643,314.672,193.057,-5.32788,-6.94263,1440.69,1576.16
2.47954,315.206,192.762,-4.79404,-7.23848,1440.69,1579.23
2.49749,315.733,191.307,-4.26666,-8.69333,1440.69,1583.61
2.51473,316.083,189.843,-3.91739,-10.1567,1440.69,1588.59
